Bar,Rise (mm),Width uncut (mm),Backsweep (°),Upsweep (°),Clamp diameter (mm),Material,Weight uncut (g),Price ($)
Spank Spike,50,800,8,4,31.8,Alloy,360,114.99
Renthal fatbar,50,820,9,5,35,Alloy,345,107.85
OneUp V2 50mm rise,50,800,8,5,35,Carbon,265,186.99
OneUp V2 35mm rise,35,800,8,5,35,Carbon,235,186.99
OneUp V1 35mm rise,35,800,8,5,35,Carbon,225,159.99
RaceFace Era,40,800,8,5,35,Carbon,220,187.99
Fasst Flexx (red elastomer),25,800,12,5,35,Alloy,650,399.99
SQlab 30X,45,780,12,4,31.8,Carbon,245,249.99
Enve M9,50,810,8,4,31.8,Carbon,265,225
,,,,,,,,
