Bar,Vertical mean (mm),Horizontal mean (mm),Weight (kg),Vertical spring rate (N/mm),Horizontal spring rate (N/mm)
Fasst Flexx (red elastomer),21.79,6.12,19.75,8.891578706,31.6753406
Fasst Flexx (black elastomer),10.54,6.23,19.75,18.38211575,31.09911717
RaceFace Era,5.18,5.69,19.75,37.37893891,34.03059134
Enve M9,5.13,6.92,19.75,37.76754386,27.98471353
Spank Spike,5.01,5.11,19.75,38.64644282,37.94011096
Renthal fatbar,4.95,5.03,19.75,39.11456932,38.51838966
SQLab 30X,4.73,6.01,19.75,40.93257043,32.2375208
OneUp V2 50mm rise,4.67,5.67,19.75,41.51732143,34.15055817
OneUp V2 30mm rise,5.37,5.95,19.75,37.37893891,34.03059134
OneUp V1 30mm rise,4.61,5.46,19.75,42.05806801,35.46323978
